route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000001,OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20260828,105241,0,1,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000002,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1727:20260403,105342,1,2,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000003,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1739:20260713,105342,1,3,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000004,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1738:20260827,105342,1,4,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000005,OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20260829,105342,1,5,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000006,OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20260828,105347,1,6,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000007,OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20260824,105350,1,7,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1118:20260513,105362,1,8,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1049:20260520,105362,1,9,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20260304,105362,1,10,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000011,OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20260828,105362,1,11,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000012,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1021:20260306,105375,1,12,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20260513,105375,1,13,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000013,OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20260829,105375,1,14,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000014,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1328:20260518,105377,1,15,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000015,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1335:20260513,105377,1,16,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000016,OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1327:20260829,105377,1,17,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000017,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1611:20260508,105378,1,18,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000018,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1609:20260402,105378,1,19,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000019,OCESN105378F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1609:20260829,105378,1,20,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000020,OCESN105431F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:734:20260829,105431,1,21,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000021,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:911:20260823,105432,1,22,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000022,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:919:20260328,105432,1,23,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000009,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:909:20260520,105432,1,24,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000008,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:909:20260513,105432,1,25,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000010,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:907:20260304,105432,1,26,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000023,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:919:20260329,105432,1,27,
FR:Line::85d3579c-996b-4671-89af-839855ede78a:,000024,OCESN105432F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:916:20260829,105432,1,28,
